Feature,Score
ROE,0.33524131545440916
Asset_Turnover,0.33458933025128346
ROA,0.3345841824659077
Profit_Margin,0.33449678377324865
Debt_to_Equity,0.3343347017623959
Financial_Leverage,0.33367236348247076
EPS_Calc,0.33318203536823354
Changes_In_Cash,0.09237111132491549
Net_Tangible_Assets,0.08849086159744157
EMA_50,0.08710486098170556
SMA_50,0.08708739116342645
Common_Stock,0.0864143921345919
Capital_Stock,0.08611492356676376
Tangible_Book_Value,0.08606097018618986
Tax_Effect_Of_Unusual_Items,0.08490737074881416
Financing_Cash_Flow,0.08134188248051721
Investing_Cash_Flow,0.07935626811789831
Net_Income_Common_Stockholders,0.07077620720500555
Net_Income,0.07031535155950497
Diluted_NI_Availto_Com_Stockholders,0.07030920653395967
Net_Income_From_Continuing_And_Discontinued_Operation,0.07025880577333865
Net_Income_Including_Noncontrolling_Interests,0.06875146882139482
Net_Income_Continuous_Operations,0.06833079308574863
Net_Income_From_Continuing_Operations,0.06717219993709111
Net_Income_From_Continuing_Operation_Net_Minority_Interest,0.06706732196226906
Free_Cash_Flow,0.06665211670717142
NATR,0.06654260180144522
Pretax_Income,0.06490398718552015
Normalized_Income,0.06422732098921191
Total_Equity_Gross_Minority_Interest,0.06285250640681728
Stockholders_Equity,0.06263887532782952
Common_Stock_Equity,0.06169045350782021
Operating_Margin,0.06002458434793834
Basic_EPS,0.056812430699276106
Diluted_EPS,0.056521159036496904
EMA_20,0.05513651816328036
SMA_20,0.05483882909535698
Operating_Cash_Flow,0.05419851325057845
Cash_And_Cash_Equivalents,0.05248049351476869
End_Cash_Position,0.05206175673090563
Long_Term_Debt_And_Capital_Lease_Obligation,0.05172687807234322
Total_Debt,0.051289651564563776
Total_Liabilities_Net_Minority_Interest,0.05099474326648945
Total_Assets,0.0500871277891779
Beginning_Cash_Position,0.04940178162692188
Ordinary_Shares_Number,0.048962764209868226
Share_Issued,0.04864891984590081
Diluted_Average_Shares,0.04827064390169422
Basic_Average_Shares,0.04616290465868378
Invested_Capital,0.04447751207514816
Total_Capitalization,0.04420834300327492
Total_Revenue,0.04355290195386985
Operating_Revenue,0.043513881725685266
EMA_10,0.04228747325415494
SMA_10,0.04074858007000248
MACD,0.03880235046452185
MACD_Signal,0.038142416245222854
BB_Lower,0.03797050201536134
BB_Upper,0.037472686791477194
Tax_Rate_For_Calcs,0.03597729159078611
EMA_5,0.034657723063102
PPO,0.032576071169390985
BB_Middle,0.032333149366429836
SMA_5,0.03233252123064023
MACD_Hist,0.031205173736230662
Close,0.030004238687017626
ATR,0.028313616431483446
APO,0.027403560548991734
High_Low_Ratio,0.024890797231318373
ULTOSC,0.02463146786164394
ADX,0.020859044125552728
ROC,0.02064135525418287
RSI,0.0206075396309382
WILLR,0.016164848653419384
MOM,0.015924223074986976
CCI,0.01444378068905916
STOCH_D,0.009190470981593535
Close_Open_Ratio,0.009172543830419322
STOCH_K,0.00882782362629797
Price_Change,0.007419166409083466
AROONOSC,0.007193170143029448
TRANGE,0.0052269671787499306
BOP,0.004692755321387132
AROON_Up,0.0035428946367028757
AROON_Down,0.0016993154701827606
