Dataset_Entrenamiento,InferenciaXSector,ValorReal,ValorPonderado,MAE
SP500,technology,15.012182989470697,-0.2248625741513953,15.237045563622091
SP500,communication-services,26.53443760714642,-2.704553430300899,29.238991037447317
SP500,consumer-cyclical,12.300841442522582,-0.43491199728534197,12.735753439807924
SP500,consumer-cyclical-no-tech,-1.46,-2.16,0.7
SP500,financial-services,4.056997392509296,3.36982050700839,0.6871768855009059
SP500,consumer-defensive,-4.446299420452432,-0.6869983903441601,3.7593010301082717
SP500,healthcare,14.3790336528469,2.1250639623666836,12.253969690480217
SP500,energy,5.970508828264043,3.823164206271773,2.14734462199227
SP500,industrials,5.34241767068914,1.8773276385353417,3.4650900321537983
SP500,basic-materials,-0.20373437221527002,1.2317337078066808,1.4354680800219508
SP500,utilities,4.119228419991235,-6.860337264233567,10.979565684224802
SP500,real-estate,0.7839965628267513,1.3335083226369742,0.5495117598102228
SP500SinTech,technology,15.012182989470697,2.0508029889388295,12.961380000531868
SP500SinTech,communication-services,26.53443760714642,0.18179837354330794,26.35263923360311
SP500SinTech,consumer-cyclical,12.300841442522582,4.038041688072515,8.262799754450068
SP500SinTech,consumer-cyclical-no-tech,-1.46,-0.6,0.86
SP500SinTech,financial-services,4.056997392509296,4.620987512105078,0.5639901195957817
SP500SinTech,consumer-defensive,-4.446299420452432,0.6637523955078081,5.11005181596024
SP500SinTech,healthcare,14.3790336528469,3.00115077131282,11.377882881534081
SP500SinTech,energy,5.970508828264043,4.421206251383845,1.5493025768801978
SP500SinTech,industrials,5.34241767068914,3.806721671322456,1.535695999366684
SP500SinTech,basic-materials,-0.20373437221527002,1.6189796122417612,1.8227139844570313
SP500SinTech,utilities,4.119228419991235,-4.069258964038358,8.188487384029592
SP500SinTech,real-estate,0.7839965628267513,2.0927228912836857,1.3087263284569344
ConsumerDefensive,technology,15.012182989470697,-2.209860439161192,17.22204342863189
ConsumerDefensive,communication-services,26.53443760714642,-2.428471759101605,28.962909366248024
ConsumerDefensive,consumer-cyclical,12.300841442522582,0.5213117298452243,11.779529712677357
ConsumerDefensive,consumer-cyclical-no-tech,-1.46,-0.37,1.09
ConsumerDefensive,financial-services,4.056997392509296,4.118534625083856,0.06153723257456001
ConsumerDefensive,consumer-defensive,-4.446299420452432,-0.20460189075282195,4.24169752969961
ConsumerDefensive,healthcare,14.3790336528469,4.1718438756951555,10.207189777151743
ConsumerDefensive,energy,5.970508828264043,4.299080591827601,1.6714282364364417
ConsumerDefensive,industrials,5.34241767068914,2.3789426925319344,2.9634749781572056
ConsumerDefensive,basic-materials,-0.20373437221527002,1.5709431465686277,1.7746775187838977
ConsumerDefensive,utilities,4.119228419991235,-4.035420436279746,8.154648856270981
ConsumerDefensive,real-estate,0.7839965628267513,4.225493653727637,3.441497090900885
